time_of_day,weather_severity,active_sensors,historical_flow,is_congested
20,0,10,4465,0
5,4,6,4482,1
11,5,34,165,0
11,5,6,979,1
19,1,36,167,0
10,3,46,1316,0
22,1,20,3127,0
6,0,16,3339,0
0,2,5,3580,0
0,2,12,607,0
19,3,17,3814,1
12,5,19,2984,1
8,3,48,1225,1
2,5,12,985,0
6,5,14,2941,1
5,2,50,3977,0
7,3,9,4970,1
8,1,23,2625,1
4,5,42,1025,1
0,4,15,4315,0
18,4,47,2038,1
9,1,24,3914,1
11,4,24,3462,0
23,0,25,4683,0
14,5,22,3332,1
21,1,14,3844,0
23,3,38,3565,0
8,5,30,540,1
19,1,34,3711,0
16,2,13,561,1
16,3,50,711,1
19,2,35,3571,0
11,5,46,3263,1
6,3,8,105,0
1,4,10,4876,1
2,1,18,4070,0
16,5,8,2958,1
4,0,30,2706,0
16,3,43,198,1
23,3,21,625,0
16,5,23,1280,1
16,5,10,1789,1
1,2,33,1238,0
1,4,15,4591,1
21,2,20,4965,0
22,2,34,3171,0
4,4,29,3027,0
0,0,44,2892,0
0,2,15,4878,0
18,2,11,114,1
1,3,30,2515,0
20,4,26,2785,0
11,1,29,3000,0
5,0,23,1336,0
22,0,35,4200,0
3,4,30,3320,0
22,5,46,1707,0
10,5,45,3663,1
23,3,40,3397,0
16,3,27,2733,1
5,4,17,3990,1
23,3,29,4364,1
4,0,6,2908,0
19,0,6,891,0
1,1,20,1099,0
5,5,13,251,1
21,4,32,3163,1
10,2,17,4699,0
15,5,39,2191,1
15,2,45,4699,0
0,1,17,4182,0
8,1,35,4126,1
5,3,25,3077,0
15,1,36,942,0
2,1,38,4546,0
19,2,12,3893,0
3,3,45,2170,0
18,1,6,1759,1
2,5,42,697,1
18,1,36,2613,1
19,3,44,4235,1
6,4,32,4370,0
19,3,41,3703,0
8,2,45,1316,1
0,4,5,2391,0
7,5,45,3911,1
6,0,14,1031,0
17,3,8,2238,1
7,2,39,4102,1
0,5,14,3078,1
10,4,15,3992,1
17,5,18,4695,1
22,3,42,3018,0
9,1,16,2664,1
2,3,49,1863,0
6,0,21,2270,0
15,3,20,435,0
15,4,39,1276,0
19,4,6,3121,1
16,3,15,878,1
1,4,45,1285,0
0,1,7,3385,0
15,5,33,3547,0
11,3,22,4091,1
4,1,24,2570,0
4,5,18,1038,0
22,5,38,4999,1
8,1,35,4106,1
8,2,44,2035,1
2,3,46,733,0
18,5,22,1353,1
15,5,34,1182,1
15,4,29,2243,1
2,5,23,1385,0
19,1,12,453,0
23,5,32,1985,0
21,2,12,1918,0
23,3,35,2620,0
0,3,7,4108,0
23,5,7,3122,1
19,0,48,2684,0
10,0,26,1647,0
16,1,21,4118,1
7,0,40,4304,1
3,1,21,1468,0
5,4,18,3437,1
7,1,13,1857,1
19,0,34,1617,0
2,5,25,3584,0
15,4,16,3785,0
2,0,41,3152,0
17,1,36,2796,1
13,2,15,290,0
17,3,24,1032,1
1,0,39,4337,0
21,1,50,3338,0
2,4,15,2315,1
15,0,12,665,0
8,0,8,1234,0
3,3,31,843,0
0,1,48,772,0
3,2,44,3011,0
0,4,42,630,0
13,1,34,3121,0
20,4,48,661,1
15,0,31,401,0
19,3,25,3867,0
23,3,24,4380,1
7,5,8,609,1
6,2,15,3545,0
2,3,17,2303,0
16,0,13,2934,0
0,2,8,894,0
15,1,16,2579,0
11,3,13,1623,0
18,2,17,4956,1
21,0,30,2294,0
22,5,42,2628,1
21,4,46,534,0
13,4,17,2138,1
5,0,43,1806,0
5,0,32,168,0
12,4,23,2004,0
18,5,28,4059,1
21,2,23,3051,0
7,4,17,4749,1
1,0,17,2813,0
20,3,32,3469,0
0,1,6,4695,0
14,5,14,3827,1
0,5,26,2504,0
4,3,17,3425,0
15,3,13,3646,0
18,0,37,2403,1
3,4,18,3781,1
2,2,24,3321,0
16,5,19,4474,1
16,5,36,1182,1
11,3,37,545,0
13,4,21,4950,1
20,5,28,1692,1
5,2,34,2875,0
2,3,17,3916,0
8,2,20,3153,1
4,4,6,1690,0
23,5,21,2331,1
16,1,36,1661,1
13,5,47,4372,1
20,4,12,3746,0
2,5,7,3338,1
0,5,16,1700,1
19,0,24,2156,0
20,5,20,4431,1
22,5,18,809,1
0,2,20,3071,0
2,1,47,2832,0
17,2,37,893,1
9,2,34,3199,1
21,3,16,2955,1
2,0,19,126,0
7,2,22,3367,1
13,4,32,184,0
23,4,27,3201,1
17,5,18,1222,1
14,3,34,111,0
21,0,37,1848,0
22,0,49,3209,0
1,5,19,1976,0
9,4,11,2719,1
1,1,19,279,0
16,3,46,896,1
7,5,50,3913,1
0,3,42,2124,0
8,4,50,3317,1
10,4,48,986,1
21,1,15,2568,0
15,1,33,3487,0
6,0,35,1619,0
9,3,29,2532,1
22,3,28,4966,1
2,4,23,1016,1
17,0,6,2170,1
23,5,26,4076,1
12,3,24,1881,0
6,0,37,438,0
3,0,12,1616,0
12,4,29,2970,1
19,0,50,3682,0
0,1,13,1014,0
7,1,38,3390,1
13,2,27,4670,0
15,4,9,1546,0
13,5,29,1479,0
11,2,12,1583,0
18,1,20,2174,1
22,2,49,900,0
14,4,19,1346,0
1,4,5,2837,0
1,0,26,3595,0
22,3,7,4934,0
21,0,42,3357,0
18,4,18,3977,1
21,1,40,1081,0
21,5,22,2576,1
16,1,45,2188,1
19,0,22,3052,0
9,5,7,1111,1
5,4,14,3564,1
14,1,43,2850,0
21,4,5,2226,0
10,5,31,4912,1
4,5,31,3961,1
0,1,15,2691,0
7,4,9,1573,1
20,2,11,2621,0
11,4,23,1265,0
11,5,33,3422,1
4,4,19,709,0
6,0,39,2283,0
3,2,41,2631,0
5,3,16,2961,0
12,0,34,4750,0
19,3,24,1755,0
14,1,41,1855,0
2,3,7,145,0
22,4,13,1359,0
7,3,45,4738,1
19,5,43,3332,1
15,0,30,1551,0
12,0,6,2218,0
17,3,27,2667,1
9,0,27,2092,1
18,5,25,3223,1
16,0,20,2440,1
23,3,13,1588,0
18,2,17,1673,1
22,2,32,2527,0
4,1,31,1866,0
20,0,21,3649,0
22,3,42,2409,0
8,0,40,4775,1
11,4,5,2504,0
20,5,22,1542,1
0,0,13,4893,0
0,0,17,2076,0
14,2,44,4073,0
1,5,49,2590,1
21,3,19,825,0
15,0,47,3903,0
7,2,48,4481,1
12,1,50,3927,0
20,5,8,4765,1
0,2,37,3719,0
15,2,28,2987,0
6,2,40,597,0
4,0,45,4076,0
21,0,14,804,0
22,1,40,4757,0
2,4,24,4227,0
11,4,45,3781,1
15,4,49,4238,0
18,5,48,2016,1
4,5,15,1474,0
21,1,16,1945,0
13,5,22,4754,1
4,4,34,1536,0
14,4,48,3190,0
16,2,41,1470,1
13,5,24,2028,1
19,0,29,1736,0
4,0,16,191,0
11,2,25,1943,0
15,2,29,284,0
15,2,15,4923,0
20,0,13,1671,0
6,4,29,931,0
3,2,39,4540,0
0,1,36,2225,0
4,2,18,4362,0
22,3,5,363,0
9,2,21,1386,1
21,0,29,1629,0
4,5,12,1908,0
3,2,9,1977,0
1,5,9,1849,1
19,3,45,2009,0
9,1,39,2723,1
18,5,23,1297,1
0,4,27,2578,0
23,2,13,4963,0
4,3,34,2610,0
12,3,20,200,0
3,5,37,3187,1
15,1,6,2019,0
23,0,18,2391,0
15,2,50,3420,0
22,3,5,204,0
1,1,30,793,0
16,4,29,3340,1
19,3,20,3591,1
23,1,19,3492,0
11,0,30,2368,0
17,0,48,3883,1
2,3,20,3612,0
0,3,18,989,0
0,5,33,889,1
18,2,28,4748,1
10,1,19,758,0
4,3,23,1118,0
11,2,12,2053,0
2,5,38,1290,1
0,2,6,3806,0
0,3,31,3757,0
7,0,14,4946,1
9,1,39,2396,1
10,1,27,874,0
11,0,12,2911,0
12,3,32,1480,0
11,1,27,3282,0
13,3,8,4887,0
1,5,18,4914,1
18,3,46,4429,1
17,2,33,3197,1
2,0,5,1504,0
22,3,8,3901,1
16,5,36,1469,1
7,4,37,2164,1
9,0,30,2392,1
1,1,21,2865,0
18,2,43,2917,1
8,1,27,816,0
6,5,36,4140,1
3,5,19,1811,0
20,1,17,1325,0
17,0,6,108,1
12,1,23,697,0
10,3,28,4218,1
23,1,49,1708,0
3,2,28,3131,0
20,2,15,3767,0
3,4,26,2346,1
9,2,19,3726,1
4,1,14,4171,0
8,2,45,2922,1
23,0,31,191,0
2,2,13,950,0
16,3,32,1207,1
2,0,5,399,0
15,4,21,2443,0
3,3,35,1577,1
17,1,48,1182,1
16,1,14,3056,1
6,1,41,3018,0
23,3,33,1465,0
22,3,22,2900,0
4,3,42,3636,0
11,0,43,4051,0
16,5,10,2209,1
22,0,44,875,0
12,1,16,1552,0
22,5,18,1781,0
2,2,48,2403,0
8,1,14,1951,1
16,4,24,1997,1
16,0,19,3518,1
19,3,35,3697,1
15,0,11,1427,0
21,3,45,714,0
12,5,14,344,1
18,4,14,856,1
16,5,43,923,1
3,4,32,2927,0
11,0,34,3907,0
8,3,41,2879,1
18,5,7,1946,1
11,4,47,1340,0
8,1,19,4711,1
6,1,25,573,0
13,5,41,4231,1
19,3,16,3349,0
18,5,8,1892,1
14,0,13,1834,0
15,4,43,4042,0
20,0,46,1044,0
4,1,32,1611,0
2,4,27,4181,0
11,5,49,4626,1
19,0,44,958,0
20,2,48,3660,0
3,3,26,329,0
20,3,28,2517,0
22,2,30,277,0
15,1,34,4028,0
6,4,37,2715,1
12,3,20,1713,0
20,2,26,2940,0
9,5,47,3047,1
6,2,22,1874,0
13,1,11,3971,0
4,1,30,181,0
2,0,12,945,0
22,3,10,2909,0
10,0,34,1316,0
10,2,43,4813,0
17,4,27,3360,1
14,4,36,3245,0
11,1,26,2363,0
8,4,46,2437,1
9,4,47,544,1
11,4,49,1022,0
16,2,13,4388,1
5,4,35,4484,0
6,5,11,2730,1
13,4,13,1267,0
12,4,17,4063,1
7,0,7,3541,1
9,2,39,3612,1
8,1,37,995,1
17,0,25,3822,1
1,3,35,2160,0
4,2,38,3134,0
4,5,36,2487,0
5,2,39,1997,0
18,3,19,1899,1
7,3,36,4507,1
15,3,10,2880,0
12,1,49,1227,0
0,4,25,438,0
21,2,37,4554,0
19,4,36,1272,1
16,4,23,2908,1
6,5,37,4963,1
12,3,32,3129,1
3,1,35,2189,0
3,5,25,4397,1
5,0,38,3117,0
18,1,19,4659,1
11,4,18,548,0
21,1,23,4993,0
6,3,47,893,0
9,0,19,536,0
18,3,10,4726,1
6,0,13,4760,0
2,5,41,1720,0
12,4,24,3601,1
12,0,38,3019,0
17,0,42,4408,1
19,0,30,1048,0
7,1,22,4044,1
8,5,32,1227,1
6,1,13,291,0
0,4,36,4112,1
2,0,10,3860,0
12,5,18,3830,1
16,5,32,1503,1
23,2,28,2090,0
0,4,17,1204,0
5,5,47,4900,1
20,0,16,648,0
5,0,23,3548,0
11,5,25,1961,1
12,1,31,4349,0
12,4,23,670,0
14,0,28,1884,0
20,5,30,2387,0
15,0,49,2521,0
21,5,32,4072,1
20,4,50,904,0
10,5,22,898,0
4,2,48,3375,0
3,5,40,710,1
2,5,46,1906,1
18,4,33,4338,1
19,5,21,3360,1
17,4,8,4467,1
14,2,48,3471,0
8,4,49,2573,1
16,0,33,2193,1
13,4,8,2242,0
14,2,14,4101,0
0,3,29,3180,0
20,5,35,4654,1
21,4,7,1532,0
21,5,6,2617,1
2,1,29,2957,0
15,0,10,605,0
22,0,30,1196,0
10,1,12,4279,0
11,1,39,4254,0
9,4,31,1144,1
15,1,29,2304,0
7,3,22,4002,1
5,5,5,1452,0
11,5,43,1696,0
23,2,7,675,0
20,1,8,779,0
7,1,45,4398,1
3,3,41,3812,0
7,0,19,3928,1
17,0,12,1229,1
4,5,42,4004,0
8,5,23,3293,1
3,4,30,417,0
21,3,43,3796,0
16,2,14,4601,1
8,2,42,3096,1
0,3,18,3694,0
20,2,45,3309,0
19,0,23,2642,0
12,2,34,778,0
15,2,9,1989,0
12,3,35,1743,0
13,3,11,934,0
2,2,23,2341,0
5,1,35,2455,0
17,3,43,1768,1
18,4,28,2653,1
4,4,38,380,0
14,0,27,2862,0
1,2,49,4803,0
9,1,44,4678,1
23,0,10,1346,0
17,2,42,1872,1
12,3,45,2264,0
4,4,40,291,1
22,5,31,2935,1
23,1,15,2765,0
0,5,9,2663,1
21,4,21,406,0
0,5,11,631,1
17,3,31,4317,1
14,2,19,2796,0
16,3,50,4787,1
10,5,17,158,0
20,3,15,1673,0
21,4,49,1240,0
16,1,30,1910,1
12,3,26,3298,0
0,4,32,3576,0
1,1,28,4594,0
8,2,33,2662,1
2,5,13,2952,1
0,2,46,1041,0
20,0,8,4723,0
15,4,50,1874,0
22,1,22,1521,0
5,3,47,535,0
16,2,20,939,1
4,1,37,4101,0
4,4,33,4555,0
5,0,43,2781,0
2,2,14,1750,0
20,5,13,1345,0
22,1,35,2361,0
4,5,32,1015,1
20,1,7,2739,0
4,1,18,3989,0
9,4,29,4581,1
9,4,19,1426,1
18,4,6,3458,1
16,3,28,1685,1
20,1,18,3468,0
13,2,11,488,0
8,5,40,2891,1
13,4,28,3432,1
0,4,31,803,0
18,5,41,2920,1
12,5,42,1159,0
12,1,34,4274,0
3,4,31,1398,1
0,5,43,1401,0
16,3,19,773,1
7,3,30,2459,1
1,4,5,4399,0
7,5,8,4212,1
6,1,33,4671,0
1,1,5,3682,0
21,1,47,1116,0
21,0,50,309,0
2,4,26,598,0
17,1,15,528,1
11,3,14,3739,0
0,5,21,3251,0
21,2,40,2205,0
11,2,30,1653,0
4,1,25,3306,0
16,2,17,2669,1
15,2,13,2728,0
14,0,15,1976,0
22,3,15,1167,0
14,3,10,1606,0
4,0,5,3113,0
20,0,10,1767,0
13,2,17,4688,0
1,4,26,4800,1
10,5,35,4166,1
18,5,26,1047,1
6,2,41,4489,0
5,5,31,1271,0
1,0,18,271,0
5,3,9,4726,1
17,5,40,1243,1
1,2,36,1959,0
17,4,38,2288,1
14,2,11,2593,0
18,1,46,3677,1
1,2,14,288,0
19,0,21,4176,0
5,3,34,257,0
0,3,25,2817,0
23,5,17,2070,1
14,0,5,345,0
22,1,5,3003,0
9,0,37,2895,0
18,2,42,3924,1
16,0,29,2477,1
4,0,30,949,0
3,1,17,1910,0
9,2,32,4086,1
23,4,37,2226,1
16,4,41,4364,1
9,3,45,3130,1
16,5,34,2407,1
19,0,12,3176,0
23,3,5,2444,0
4,1,16,719,0
1,4,9,3002,0
5,0,28,2507,0
20,1,10,4552,0
1,5,29,3104,0
12,1,5,4014,0
10,0,29,2586,0
10,5,5,3502,1
15,1,36,3696,0
10,5,46,1777,1
18,0,46,4139,1
14,0,7,1404,0
22,5,23,4193,1
22,2,47,2063,0
15,3,33,3407,0
10,1,6,1461,0
21,1,13,4394,0
15,2,21,1887,0
7,2,50,1173,1
3,2,40,1265,0
7,4,21,3699,1
3,4,16,2817,1
23,5,24,3253,1
2,4,7,4226,0
2,0,47,3155,0
17,5,8,759,1
18,1,21,4742,1
18,3,41,2682,1
20,0,50,1229,0
4,1,46,2374,0
17,1,19,4566,1
9,5,37,1568,1
21,2,20,2202,0
20,2,15,3366,0
5,0,24,2571,0
0,2,42,1251,0
4,1,28,192,0
8,2,20,2666,1
11,4,34,1381,0
13,2,38,3000,0
1,1,5,2899,0
16,5,28,3277,1
13,0,28,4611,0
12,3,13,2704,1
8,2,26,3981,1
14,1,16,2513,0
21,3,21,1644,0
14,3,29,3630,0
23,4,32,2746,0
10,3,19,4884,1
15,5,34,2158,1
16,1,31,4614,1
3,1,26,1245,0
0,2,14,1010,0
7,2,35,3406,1
16,2,31,1666,1
2,5,16,2495,0
19,3,50,3105,0
14,3,35,4607,1
14,4,36,4348,0
23,5,36,191,0
21,2,45,4092,1
13,0,49,430,0
22,4,39,1054,0
13,0,50,3880,0
23,3,25,2701,0
1,4,14,3077,0
12,4,20,4389,0
13,1,11,629,0
23,3,8,2992,1
18,3,31,1366,1
6,5,29,1573,0
2,4,35,4834,1
14,3,15,1697,0
22,4,24,2625,1
13,5,40,4893,1
10,5,21,3861,0
14,1,49,2842,0
12,4,15,4735,0
17,3,34,4525,1
5,3,39,569,0
2,4,45,3930,0
18,4,42,633,1
14,4,26,4662,1
22,2,47,4155,0
4,3,31,3779,1
9,5,41,4187,1
6,3,50,861,0
16,2,39,990,1
6,4,8,2455,1
21,1,20,2055,0
11,4,20,3071,0
16,4,25,1772,1
12,2,30,2936,0
19,3,40,3744,1
3,4,23,2397,0
9,3,21,4161,1
2,0,49,3266,0
8,5,30,1419,1
12,3,26,283,0
17,1,32,1383,1
14,5,5,2946,1
3,1,48,2333,0
14,4,40,4188,1
21,5,47,1532,0
1,3,41,3240,0
14,5,6,1896,1
7,4,21,4822,1
7,2,44,2155,1
16,1,42,3436,1
11,4,25,882,0
18,2,13,1607,1
9,5,17,4970,1
8,5,15,3954,1
4,4,20,776,1
5,3,20,1930,0
19,5,6,4190,1
1,3,46,4406,0
23,3,48,1460,0
12,3,12,4685,0
5,0,47,2786,0
4,2,46,290,0
0,2,17,942,0
20,5,21,434,0
21,5,43,1210,0
20,3,28,678,0
5,0,7,161,0
5,3,34,486,0
22,0,17,1269,0
15,3,23,2300,0
3,1,11,4814,0
10,1,13,1783,0
23,4,23,586,0
22,3,49,3832,0
8,5,44,640,1
22,2,26,2160,0
2,4,22,4346,0
18,5,27,1338,1
7,1,6,1090,1
4,3,15,4567,1
3,4,35,2399,0
23,3,37,4007,0
5,1,18,4388,0
1,4,20,1180,1
19,1,15,297,0
10,0,37,2294,0
3,1,11,1698,0
14,3,35,1700,0
5,2,50,3792,0
21,1,18,3965,0
16,5,32,783,1
23,2,47,3183,0
5,0,20,4089,0
18,4,23,432,1
1,4,21,1871,0
14,2,30,4300,0
10,4,10,2821,1
7,1,47,906,0
18,2,13,1164,1
12,3,21,988,0
11,1,35,3023,0
4,1,16,420,0
5,1,27,4057,0
21,3,9,2482,0
3,0,47,3331,0
18,5,40,2411,1
19,4,40,3701,1
0,2,7,1600,0
19,0,28,1668,0
16,2,21,3381,1
11,4,43,1619,0
14,3,30,2018,0
0,1,8,4189,0
13,1,49,1965,0
5,3,16,1505,0
4,0,5,2823,0
10,0,25,104,0
3,2,23,1268,0
12,3,25,2498,1
10,0,22,2730,0
2,3,47,447,0
0,4,7,4320,0
5,1,48,1913,0
17,1,36,3442,1
23,1,14,2674,0
9,3,44,3925,1
4,3,19,4693,1
22,2,9,152,0
9,1,8,248,1
11,2,32,602,0
1,1,8,969,0
12,2,19,3621,0
7,2,21,4414,1
1,4,48,3971,0
19,2,7,1400,0
0,3,14,2599,0
4,2,46,4133,0
8,1,27,3389,1
16,2,22,4933,1
8,0,5,3953,1
10,5,39,2551,1
14,1,35,4485,0
23,0,48,438,0
5,1,5,2924,0
22,3,7,1793,0
2,5,7,1086,0
16,5,41,3590,1
4,3,23,2833,0
11,5,33,3867,1
17,3,29,4176,1
13,0,37,2106,0
20,4,40,3207,0
23,1,33,4568,0
10,3,30,3430,0
8,1,8,3141,1
1,0,18,630,0
11,4,31,1023,0
2,0,37,4218,0
2,5,26,340,1
0,1,7,1996,0
7,4,27,3424,1
21,5,25,913,1
7,4,45,4850,1
10,5,27,882,1
8,0,8,4155,0
4,3,25,107,0
13,1,41,3873,0
2,2,47,4770,0
20,2,35,3239,0
4,0,25,3889,0
4,1,30,4151,0
18,1,45,617,1
13,0,39,3290,0
3,1,42,3202,0
12,3,28,4678,1
9,0,15,2816,0
17,3,45,678,1
7,1,33,4582,1
7,0,7,4607,1
6,1,5,1965,0
7,0,23,1476,1
13,1,50,3038,0
18,3,26,1005,1
5,3,18,1064,0
0,1,18,2076,0
22,0,48,4859,0
14,2,20,1987,0
0,3,37,2547,0
16,3,17,1091,1
0,5,42,3656,1
14,2,16,4059,0
22,1,42,3704,0
1,0,43,1183,0
13,5,37,534,1
20,1,37,120,0
7,4,33,3022,1
7,3,9,2025,1
18,4,10,1572,1
6,3,35,1199,0
18,3,20,2737,1
5,4,35,489,0
5,4,29,3513,0
2,1,50,2715,0
6,5,37,1454,0
18,5,17,4621,1
7,4,14,105,1
9,1,28,290,1
19,5,14,247,1
14,1,45,4600,0
14,1,35,4453,0
0,3,17,3650,0
19,5,7,4205,1
6,5,38,1210,0
3,3,32,3933,0
5,4,23,724,0
0,3,27,4225,1
4,5,49,2275,1
22,5,36,3249,1
0,4,17,1178,0
3,3,37,3651,0
21,0,38,2452,0
1,0,37,645,0
9,4,9,1295,1
4,3,7,2169,0
9,3,11,3458,1
0,1,28,2538,0
21,5,26,716,1
5,2,49,4344,0
12,4,27,3443,0
14,2,34,1911,0
3,2,22,271,0
12,4,36,4242,1
23,3,11,725,0
19,4,37,4163,1
23,2,9,2354,0
14,5,32,552,0
7,5,12,1518,1
4,5,19,853,1
14,3,8,3472,1
3,0,38,2823,0
11,4,9,3110,1
12,5,37,3011,0
1,4,9,1325,0
18,5,42,267,1
18,3,38,3785,1
3,0,30,185,0
3,0,5,1777,0
10,5,8,2082,0
4,3,43,1586,0
19,1,30,541,0
10,4,37,370,1
9,4,37,443,1
7,2,12,1306,1
5,3,24,3181,1
5,2,20,1357,0
7,5,25,2391,1
22,2,49,1632,0
14,0,30,3522,0
13,4,27,4462,0
10,2,22,1753,0
11,0,35,338,0
12,3,46,1014,0
7,2,16,1538,1
17,5,5,3116,1
0,5,46,1560,1
14,5,13,3179,1
7,4,7,2358,1
10,2,30,466,0
11,3,13,3091,0
11,2,46,3841,0
3,4,20,185,0
15,0,28,2593,0
3,4,18,4815,1
4,5,7,231,1
23,0,38,1003,0
4,5,37,3556,1
7,1,28,1321,0
9,4,13,1863,1
16,4,17,2904,1
8,3,6,1326,1
21,2,11,1384,0
18,0,25,789,0
13,0,23,4882,0
7,3,29,4981,1
8,3,26,4535,1
21,2,15,4607,0
10,5,37,2096,1
22,2,36,4481,0
0,4,25,1209,0
13,5,43,529,0
4,1,24,4226,0
20,2,12,3881,0
13,3,46,702,0
3,5,41,539,0
21,2,13,1084,0
22,0,29,2018,0
0,1,29,4607,0
21,4,37,627,0
22,0,6,4505,0
18,0,23,3096,0
7,1,50,3567,1
14,4,24,1461,0
20,3,46,803,0
14,5,45,762,0
8,4,46,464,1
20,2,33,1022,0
8,0,10,3956,1
9,2,21,275,1
19,3,29,1035,0
20,2,42,481,0
8,4,8,405,1
2,2,34,4797,0
19,3,24,2490,1
10,3,7,2303,0
5,3,27,4907,0
1,4,22,1565,1
6,3,30,3371,1
17,0,40,502,1
1,3,12,4809,0
16,2,21,2770,1
10,5,35,1901,1
11,2,41,2750,0
18,5,49,276,1
21,2,37,4644,0
23,4,31,842,0
6,2,49,2448,0
19,4,8,4502,1
5,4,26,850,0
20,3,30,968,0
23,0,36,4162,0
0,5,28,4067,1
16,3,50,313,1
10,3,39,1717,0
21,4,41,2630,1
17,4,36,3433,1
20,5,11,1697,0
16,2,37,611,1
6,2,35,352,0
16,3,16,4233,1
19,1,15,728,0
8,1,28,3576,1
16,2,12,1086,1
19,1,36,1825,0
21,2,42,2193,0
21,4,26,1801,0
7,3,38,404,1
16,0,23,4178,1
6,3,24,2380,0
0,2,18,4440,0
12,2,37,2907,0
22,3,14,2986,0
18,5,20,3554,1
23,2,8,1124,0
18,1,31,4412,1
16,1,32,3075,1
12,2,47,606,0
15,2,20,4956,0
7,5,37,3051,1
18,1,23,1153,1
17,2,25,2774,1
0,2,26,2667,0
13,5,13,2004,0
18,5,13,4470,1
14,3,13,4687,0
17,5,31,2994,1
1,0,21,1200,0
21,1,48,3761,0
16,3,49,1736,1
17,0,12,1555,1
5,2,20,3713,0
18,2,22,138,1
3,3,37,3184,0
0,5,5,4339,1
7,2,16,2831,1
22,4,10,2515,1
6,3,45,858,0
2,0,9,4442,0
9,3,20,3216,1
9,1,22,864,1
18,5,22,2522,1
13,5,5,1414,1
1,3,23,4402,0
0,2,12,4095,0
22,2,7,4129,0
22,4,29,3793,0
17,4,9,3285,1
6,5,44,2966,1
7,4,23,1417,1
0,0,22,800,0
22,4,35,4483,1
2,0,37,2301,0
23,4,22,1693,0
22,5,43,4087,1
7,5,20,4245,1
21,0,20,1330,0
14,3,42,2712,0
4,5,45,3237,1
2,3,11,2008,0
18,2,18,1890,1
